"","ID","Average coverage across loci","Loci passing coverage threshold","FabDocCh4AP","Colecao","FabDocCh2","FabMestrado","Localidade","Locality","Brazilian State","Latitude","Longitude","gymno_clades","Species","Cytb Haplotype"," Genbank accession number cytb/ KIF24"
"44","44704",NA,NA,NA,"CHUNB","SIM","SIM","ColinasdoSul","Colinas do Sul","GO",-14.15,-48.07,2,"G. amarali Clade D","14","KM283280/ KM283354"
"45","0642",NA,NA,NA,"ESTR","SIM",NA,NA,"Estreito","MA",NA,NA,NA,"G. amarali Clade H","15","KM283261/ KM283399"
"46","1759",NA,NA,NA,"ESTR","SIM","SIM","Estreito","Goiatins","TO",-6.5625,-47.4525,12,"G. amarali Clade H","16","KM283259/ KM283395"
"47","1808",NA,NA,NA,"ESTR","SIM","SIM","Estreito","Goiatins","TO",-6.5625,-47.4525,12,"G. amarali Clade H","17","KM283260/ KM283396"
"48","7552",NA,NA,NA,"MTR","SIM",NA,NA,"Guarai","TO",NA,NA,NA,"G. amarali Clade H","18","KM283262/ KM283413"
"49","7598",NA,NA,NA,"MTR","SIM",NA,NA,"Guarai","TO",NA,NA,NA,"G. amarali Clade H","18","KM283263/ KM283414"
"50","LAJ215",NA,NA,NA,"LAJ","SIM",NA,NA,"Lajeado","TO",NA,NA,NA,"G. amarali Clade H","19","KM283296/ KM283404"
"51","58337",NA,NA,NA,"CHUNB","SIM",NA,NA,"Manga","MG",NA,NA,NA,"Manga","20","KM283268/ KM283378"
"52","58338",NA,NA,NA,"CHUNB","SIM",NA,NA,"Manga","MG",NA,NA,NA,"Manga","20","KM283269/ KM283379"
"53","58341",NA,NA,NA,"CHUNB","SIM",NA,NA,"Manga","MG",NA,NA,NA,"Manga","20","KM283270/ KM283380"
"54","28220",NA,NA,NA,"CHUNB","SIM","SIM","Mateiros","Mateiros","TO",-10.70224,-46.41278,10,"G. amarali Clade H","21","KM283272/ KM283346"
"55","28222",NA,NA,NA,"CHUNB","SIM","SIM","Mateiros","Mateiros","TO",-10.70224,-46.41278,10,"G. amarali Clade H","21","KM283273/ KM283347"
"56","58323",NA,NA,NA,"CHUNB","SIM",NA,NA,"Matias Cardoso","MG",NA,NA,NA,"Matias Cardoso","22","KM283274/ KM283375"
"57","58348",NA,NA,NA,"CHUNB","SIM",NA,NA,"Matias Cardoso","MG",NA,NA,NA,"Matias Cardoso","22","KM283276/ KM283381"
"58","2204",NA,NA,NA,"GRC","SIM",NA,NA,"Minaçu","GO",NA,NA,NA,"G. amarali Clade D","24","KM283278/ KM283343"
"59","2211",NA,NA,NA,"GRC","SIM",NA,NA,"Minaçu","GO",NA,NA,NA,"G. amarali Clade D","25","KM283279/ KM283344"
"60","832",NA,NA,NA,"CHUNB","SIM",NA,NA,"Minaçu","GO",NA,NA,NA,"G. amarali Clade D","26","KM283281/ KM283392"
"61","53054",NA,NA,NA,"CHUNB","SIM","SIM","MonteAlegre","Monte Alegre de Goiás","GO",-13.09325,-47.02351,7,"G. amarali Clade G","27","KM283319/ KM283359"
"62","53058",NA,NA,NA,"CHUNB","SIM","SIM","MonteAlegre","Monte Alegre de Goiás","GO",-13.09325,-47.02351,7,"G. amarali Clade G","28","KM283320/ KM283360"
"63","53059",NA,NA,NA,"CHUNB","SIM","SIM","MonteAlegre","Monte Alegre de Goiás","GO",-13.09325,-47.02351,7,"G. amarali Clade G","28","KM283321/ KM283361"
"64","53061",NA,NA,NA,"CHUNB","SIM","SIM","MonteAlegre","Monte Alegre de Goiás","GO",-13.09325,-47.02351,7,"G. amarali Clade G","28","KM283322/ KM283362"
