"","X","ID","Colecao","Localidade","HemipenisMedido","Hemipenis_Evertido","No_LACV","FabDocCh4AP","FabDoc3CitB","FabDocCh2","FabMestrado","UF","Latitude","Longitude","Altitude","Especie_Fabricius","Especie_Welington","Clado"
"211",531,"3037","CHUNB","Minacu",NA,NA,NA,NA,NA,NA,"SIM",NA,-13.49575,-48.3974,NA,"G. amarali",NA,2
"221",532,"3080","CHUNB","Minacu",NA,NA,NA,NA,NA,NA,"SIM",NA,-13.49575,-48.3974,NA,"G. amarali",NA,2
"231",533,"3070","CHUNB","Minacu",NA,NA,NA,NA,NA,NA,"SIM",NA,-13.49575,-48.3974,NA,"G. amarali",NA,2
"241",534,"3010","CHUNB","Minacu",NA,NA,NA,NA,NA,NA,"SIM",NA,-13.49575,-48.3974,NA,"G. amarali",NA,2
"251",535,"3076","CHUNB","Minacu",NA,NA,NA,NA,NA,NA,"SIM",NA,-13.49575,-48.3974,NA,"G. amarali",NA,2
"261",536,"3055","CHUNB","Minacu",NA,NA,NA,NA,NA,NA,"SIM",NA,-13.49575,-48.3974,NA,"G. amarali",NA,2
"271",537,"3051","CHUNB","Minacu",NA,NA,NA,NA,NA,NA,"SIM",NA,-13.49575,-48.3974,NA,"G. amarali",NA,2
"281",538,"3035","CHUNB","Minacu",NA,NA,NA,NA,NA,NA,"SIM",NA,-13.49575,-48.3974,NA,"G. amarali",NA,2
"291",539,"3021","CHUNB","Minacu",NA,NA,NA,NA,NA,NA,"SIM",NA,-13.49575,-48.3974,NA,"G. amarali",NA,2
"1",172,"44704","CHUNB","ColinasdoSul",NA,NA,NA,NA,"SIM",NA,NA,"GO",-13.99,-48.09,511,NA,NA,NA
"210",173,"44698","CHUNB","ColinasdoSul",NA,NA,NA,NA,"SIM",NA,NA,"GO",-13.99,-48.09,511,NA,NA,NA
"3",174,"44704","CHUNB","ColinasdoSul",NA,NA,NA,NA,NA,"SIM","SIM","GO",-14.15,-48.07,528,"G. amarali Clade D",NA,2
"41",175,"44698","CHUNB","ColinasdoSul",NA,NA,NA,"SIM",NA,NA,"SIM","GO",-14.15,-48.07,511,"G. amarali",NA,2
"51",176,"44708","CHUNB","ColinasdoSul",NA,NA,NA,NA,NA,NA,"SIM",NA,-14.15,-48.07,NA,"G. amarali",NA,2
"6",177,"50402","CHUNB","ColinasdoSul",NA,NA,NA,NA,NA,NA,"SIM",NA,-14.15,-48.07,NA,"G. amarali",NA,2
"71",178,"48337","CHUNB","ColinasdoSul",NA,NA,NA,NA,NA,NA,"SIM",NA,-14.15,-48.07,NA,"G. amarali",NA,2
"212",28,"24210","GRC","AltoParaiso",NA,NA,NA,"SIM","SIM",NA,NA,"GO",-14.16,-47.62,1166,"G. amarali",NA,NA
"36",29,"12436","CHUNB","AltoParaiso",NA,NA,NA,NA,NA,NA,"SIM",NA,-14.16222,-47.52332,NA,"G. amarali",NA,3
"42",30,"403","CHUNB","AltoParaiso",NA,NA,NA,NA,NA,NA,"SIM",NA,-14.16222,-47.52332,NA,"G. amarali",NA,3
"52",31,"402","CHUNB","AltoParaiso",NA,NA,NA,NA,NA,NA,"SIM",NA,-14.16222,-47.52332,NA,"G. amarali",NA,3
